e,y,pathway,term,estimate,std.error,statistic,p.value
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,bmi,0.2885340490540923,0.0057620984410391846,50.07447408379502,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,ppgs:bmi,-0.006360897630471638,0.005824671730128279,-1.0920611366937154,0.27481551087116196
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,ppgs,-0.01195033265629534,0.0058157897253975676,-2.054808241107516,0.03990667415694809
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,bmi,0.28833428505748665,0.005762114644724372,50.03966474729504,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,ppgs:bmi,0.012247205758950299,0.005795513985249756,2.1132216728526294,0.03459051369096204
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,ppgs,0.0031352898078496035,0.005776702671354297,0.5427473052052656,0.5873080658429222
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,bmi,0.2885267874982366,0.005762741854840165,50.0676231498902,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,ppgs:bmi,0.004443160376569166,0.005727188081845783,0.7758013728679931,0.4378727452242397
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,ppgs,-0.004591611793570217,0.005736171502603998,-0.8004662676989006,0.4234474080747568
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,bmi,0.2883794616751653,0.0057614966005471715,50.05287370086755,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,ppgs:bmi,0.006956979576443092,0.005694591859346705,1.2216818603117963,0.2218381177018585
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,ppgs,-2.5855119032132664e-5,0.005696207899706325,-0.004539005508114557,0.9963784419583286
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,bmi,0.2885097088153382,0.005761027401100514,50.07955851073108,0
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,ppgs:bmi,-0.015865262629125385,0.005816504346300994,-2.7276284318802064,0.006383068175990766
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,ppgs,0.003688844758641087,0.0059168829947758295,0.6234439251034818,0.5329978565196265
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,bmi,0.2883441645884994,0.005761819494447498,50.043942693166365,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,ppgs:bmi,0.005383958007539438,0.0058444274759347995,0.9212122196243507,0.35694747918536285
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,ppgs,-0.002744953976914314,0.005885367749548735,-0.4664031363417835,0.6409305509027219
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,bmi,0.28842074704639986,0.005761513800199123,50.05988999565214,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,ppgs:bmi,0.004891636987129434,0.0059997683649775525,0.8153043066934694,0.4149049939287347
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,ppgs,0.011171625376101856,0.00582105435564329,1.919175581185115,0.05497214486913607
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,bmi,0.28850888670891206,0.0057611513781948,50.07833812541018,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,ppgs:bmi,0.008339758129962077,0.005818677127261042,1.4332739121903733,0.15179060265408756
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,ppgs,0.0032775478939348784,0.005884628505030864,0.5569676813299004,0.5775539077357765
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,bmi,0.2882699342585984,0.005761828248818906,50.03098353681225,0
