e,y,pathway,term,estimate,std.error,statistic,p.value
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,ppgs:bmi,-0.001063581778186821,0.005710636242574519,-0.18624575844237765,0.8522533742696055
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,ppgs,-0.008771059004156102,0.005735898542644939,-1.529151699414751,0.1262379990265678
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,bmi,0.2885947201164961,0.005765563084570654,50.05490632628938,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,ppgs:bmi,-3.504544973544536e-4,0.005735639964840406,-0.061101202220283535,0.9512790424463481
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,ppgs,-0.004107910898320985,0.005703133502960121,-0.7202901521047752,0.4713523057649216
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,bmi,0.2883846318117468,0.0057616809014655965,50.05216997324349,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,ppgs:bmi,-0.005941010003603862,0.0057331104533560485,-1.0362629591631387,0.30008832096694915
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,ppgs,-0.009766022348063305,0.005724291732552354,-1.7060664977165338,0.08800665305990475
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,bmi,0.2884011237862262,0.005761131337211607,50.05980716381526,0
bmi,alt_log_adj,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,ppgs:bmi,0.009082188496231335,0.0056754629625442475,1.6002550904076185,0.109553148728375
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,ppgs,-0.006807748068387939,0.005722800969375813,-1.1895832311516612,0.23422020309566582
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,bmi,0.2883280734972757,0.005761733602773131,50.04189595966446,0
bmi,alt_log_adj,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,ppgs:bmi,-0.00504587344313469,0.005765863329512131,-0.8751288670523584,0.3815112062373581
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,ppgs,-1.821144838393063e-4,0.0056938378660280255,-0.031984487111212365,0.9744846472338707
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,bmi,0.2884150333095003,0.005761518358415442,50.05885868405382,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,ppgs:bmi,0.005569815478471199,0.00564875621847878,0.9860251112007026,0.3241292060852917
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,ppgs,0.0011912501970422565,0.005704245270877178,0.20883572505623876,0.8345779820833322
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,bmi,0.28842982781992504,0.0057615563858120925,50.06109608337553,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,ppgs:bmi,0.004911773968538075,0.005850816622006478,0.8395022927335625,0.4011945826595351
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,ppgs,0.009082635244051911,0.005741185140651653,1.58201399563662,0.11365753149109875
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,bmi,0.288510404280827,0.00576131070712525,50.077216617394775,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,ppgs:bmi,0.008373376553343649,0.005815601881062331,1.4398125464210922,0.1499314831944234
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,ppgs,-0.002080120109952838,0.005758227438918798,-0.36124313115763534,0.7179203940210277
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,bmi,0.28835651032411763,0.005762247172166262,50.04237092032148,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,ppgs:bmi,0.0033315161221385086,0.00580421104356966,0.5739825959342764,0.5659841325793153
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,ppgs,1.1846331386278237e-4,0.00570085641071169,0.020779915389588545,0.9834213657266182
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,bmi,0.28839888119885376,0.005761475716257779,50.05642571486459,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,ppgs:bmi,-0.007501110688362537,0.005651011442838444,-1.3273925852457322,0.18438954086707285
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,ppgs,-0.003707745850073701,0.005724603953440563,-0.6476860024255995,0.5171933046434658
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,bmi,0.2883973367230975,0.005761829428740736,50.05308475196002,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,ppgs:bmi,0.005322368061382667,0.0057303677806058205,0.9288004304707962,0.3530004296965542
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,ppgs,0.004680182236769595,0.0056960736939639925,0.8216505769103872,0.41128270535729794
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,bmi,0.28843879634527086,0.0057615371812296465,50.062819569223244,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,ppgs:bmi,-0.004423741123421661,0.0055427612666900435,-0.7981114304898387,0.42481251443270474
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,ppgs,-0.003214574618947656,0.005680986460542884,-0.5658479634257861,0.5715016169190642
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,bmi,0.28835310291722627,0.00576238886770198,50.04054907391567,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,ppgs:bmi,0.0038612396610316116,0.0055930350555777365,0.6903657178370326,0.48996988187339885
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,ppgs,-0.0046056780304992665,0.005698307164037671,-0.8082537318391597,0.41895131420314535
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,bmi,0.2885094571403974,0.005762897412233627,50.063264448876375,0
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,ppgs:bmi,-0.00292995792408973,0.005655838829777035,-0.518041268903208,0.6044335188245712
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,ppgs,-0.014295220404348939,0.00574321904765368,-2.489060627104075,0.012813802948735973
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,bmi,0.2883656488303209,0.005760999613383463,50.05479399103142,0
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,ppgs:bmi,0.005234514241046938,0.0056557558932415,0.9255198314520723,0.35470345149145077
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,ppgs,0.012259271673928289,0.005705001338364102,2.1488639435523096,0.03165362845157561
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,bmi,0.2885804414479751,0.005761151853845567,50.0907542048814,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,ppgs:bmi,0.011288001470555885,0.005803820316346878,1.9449260754614364,0.05179375106434592
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,ppgs,-0.006631743627247471,0.005694969113884675,-1.1644915880366906,0.2442346500572315
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,bmi,0.2883476850712464,0.005762066712832623,50.042406560318206,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,ppgs:bmi,-8.370389574570202e-4,0.005823506910175013,-0.1437345177687554,0.885711134639607
